City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Ravenna,OH,PORTAGE,2015-07-15,41.2,-81.2,2015,7,15,Summer,10
Armada,MI,MACOMB,2015-07-15,42.8,-82.9,2015,7,15,Summer,2
Baltimore,MD,BALTIMORE CITY,2015-07-16,39.3,-76.6,2015,7,16,Summer,38
Baltimore,MD,ANNE ARUNDEL,2015-07-16,39.3,-76.6,2015,7,16,Summer,2
Ruckersville,VA,GREENE,2015-07-16,38.2,-78.4,2015,7,16,Summer,4
Mount Dora,FL,LAKE,2015-07-16,28.8,-81.6,2015,7,16,Summer,3
Buffalo,NY,ERIE,2015-07-16,42.9,-78.9,2015,7,16,Summer,39
Baltimore,MD,BALTIMORE,2015-07-16,39.3,-76.6,2015,7,16,Summer,3
West Long Branch,NJ,MONMOUTH,2015-07-17,40.3,-74.0,2015,7,17,Summer,2
Lake,MI,CLARE,2015-07-17,43.9,-85.0,2015,7,17,Summer,4
Topeka,KS,SHAWNEE,2015-07-17,39.1,-95.7,2015,7,17,Summer,10
Crystal Lake,IL,MCHENRY,2015-07-17,42.2,-88.3,2015,7,17,Summer,7
Connersville,IN,FAYETTE,2015-07-17,39.6,-85.2,2015,7,17,Summer,10
Dublin,OH,FRANKLIN,2015-07-17,40.1,-83.1,2015,7,17,Summer,2
empire,MI,LEELANAU,2015-07-17,44.8,-86.0,2015,7,17,Summer,5
Bemidji,MN,BELTRAMI,2015-07-17,47.5,-94.7,2015,7,17,Summer,40
Belen,NM,VALENCIA,2015-07-17,34.6,-106.7,2015,7,17,Summer,24
Newport News,VA,NEWPORT NEWS CITY,2015-07-17,37.1,-76.5,2015,7,17,Summer,5
Mount Dora,FL,LAKE,2015-07-17,28.8,-81.6,2015,7,17,Summer,3
Fort Collins,CO,LARIMER,2015-07-17,40.6,-105.1,2015,7,17,Summer,6
Wisconsin Rapids,WI,WOOD,2015-07-18,44.3,-89.7,2015,7,18,Summer,48
Utuado,PR,UTUADO,2015-07-18,18.3,-66.7,2015,7,18,Summer,24
flint,MI,GENESEE,2015-07-18,43.0,-83.7,2015,7,18,Summer,13
Rosemount,MN,DAKOTA,2015-07-18,44.7,-93.1,2015,7,18,Summer,1
Loveland,CO,LARIMER,2015-07-18,40.4,-105.1,2015,7,18,Summer,1
Lyons,NE,BURT,2015-07-18,42.0,-96.5,2015,7,18,Summer,5
Grove City,OH,FRANKLIN,2015-07-18,39.9,-83.1,2015,7,18,Summer,3
Weirton,WV,HANCOCK,2015-07-19,40.4,-80.6,2015,7,19,Summer,1
Racine,WI,RACINE,2015-07-19,42.7,-87.8,2015,7,19,Summer,100
Bruce,WI,RUSK,2015-07-19,45.5,-91.3,2015,7,19,Summer,6
Shingle Springs,CA,EL DORADO,2015-07-19,38.6,-120.9,2015,7,19,Summer,16
Crystal Lake,IL,MCHENRY,2015-07-19,42.2,-88.3,2015,7,19,Summer,14
Minneapolis,MN,HENNEPIN,2015-07-19,45.0,-93.3,2015,7,19,Summer,62
Derwood,MD,MONTGOMERY,2015-07-19,39.1,-77.1,2015,7,19,Summer,2
Cortland,IL,DEKALB,2015-07-19,41.9,-88.7,2015,7,19,Summer,2
Chicago,IL,COOK,2015-07-19,41.9,-87.6,2015,7,19,Summer,58
Farmington,MN,DAKOTA,2015-07-19,44.7,-93.1,2015,7,19,Summer,3
Anoka,MN,ANOKA,2015-07-19,45.3,-93.4,2015,7,19,Summer,5
Champaign,IL,CHAMPAIGN,2015-07-19,40.1,-88.2,2015,7,19,Summer,1
Pawleys Island,SC,GEORGETOWN,2015-07-19,33.4,-79.2,2015,7,19,Summer,15
Minneapolis,MN,ANOKA,2015-07-19,45.0,-93.3,2015,7,19,Summer,24
