city,state,county,count,FIPS,cleaned_county
Grayling,MI,CRAWFORD,2,26039,CRAWFORD
Grayslake,IL,LAKE,2,17097,LAKE
Greeley,CO,WELD,1,8123,WELD
Green Bay,WI,BROWN,2,55009,BROWN
Green Cove Springs,FL,CLAY,2,12019,CLAY
Green Lake,WI,GREEN LAKE,1,55047,GREEN LAKE
Greenfield,IN,HANCOCK,1,18059,HANCOCK
Greensboro,NC,GUILFORD,0,37081,GUILFORD
Greensburg,PA,WESTMORELAND,2,42129,WESTMORELAND
Greenville,NC,PITT,3,37147,PITT
Greenville,OH,DARKE,1,39037,DARKE
Greenwich,NY,WASHINGTON,1,36115,WASHINGTON
Gregory,MI,LIVINGSTON,1,26093,LIVINGSTON
Groton,CT,NEW LONDON,1,9011,NEW LONDON
Grove,OK,DELAWARE,0,40041,DELAWARE
Grove City,OH,FRANKLIN,1,39049,FRANKLIN
Groveland,MA,ESSEX,1,25009,ESSEX
Grundy Center,IA,GRUNDY,1,19075,GRUNDY
Guilford,CT,NEW HAVEN,1,9009,NEW HAVEN
Gulliver,MI,SCHOOLCRAFT,1,26153,SCHOOLCRAFT
Gunter,TX,GRAYSON,3,48181,GRAYSON
Gurnee,IL,LAKE,1,17097,LAKE
Guthrie,OK,LOGAN,1,40083,LOGAN
Hackberry,LA,CAMERON,1,,
Hackensack,NJ,BERGEN,1,34003,BERGEN
Hackettstown,NJ,WARREN,1,34041,WARREN
Hagerman,ID,GOODING,1,16047,GOODING
Hagerstown,MD,WASHINGTON,1,24043,WASHINGTON
Halifax,PA,DAUPHIN,0,42043,DAUPHIN
Hallowell,ME,KENNEBEC,2,23011,KENNEBEC
Hamden,CT,NEW HAVEN,0,9009,NEW HAVEN
Hamilton,OH,BUTLER,1,39017,BUTLER
Hammond,IN,LAKE,1,18089,LAKE
Hampden,MA,HAMPDEN,1,25013,HAMPDEN
Hampton,MN,DAKOTA,0,27037,DAKOTA
Hancock,ME,HANCOCK,1,23009,HANCOCK
Hannibal,NY,OSWEGO,2,36075,OSWEGO
Hanover,MA,PLYMOUTH,1,25023,PLYMOUTH
Hanover,NH,GRAFTON,1,33009,GRAFTON
Harper,TX,GILLESPIE,1,48171,GILLESPIE
Hartley,IA,OBRIEN,1,,
Harvard,IL,MCHENRY,1,17111,MCHENRY
Harwinton,CT,LITCHFIELD,1,9005,LITCHFIELD
Haverhill,MA,ESSEX,2,25009,ESSEX
Haviland,OH,PAULDING,1,39125,PAULDING
Hayward,CA,ALAMEDA,1,6001,ALAMEDA
Hazard,KY,PERRY,1,21193,PERRY
Heber City,UT,WASATCH,1,49051,WASATCH
Hendersonville,TN,SUMNER,1,47165,SUMNER
Herman,MN,GRANT,1,27051,GRANT
Herndon,VA,FAIRFAX,1,51059,FAIRFAX
Hesston,KS,HARVEY,1,20079,HARVEY
Highland,MI,OAKLAND,3,26125,OAKLAND
Highland,WI,IOWA,2,55049,IOWA
Hightstown,NJ,MERCER,1,34021,MERCER
